date,rms,median,mean
2013-05-01 22:00:00,1.585259,47.654889,47.463634
2013-05-02 22:00:00,1.420416,47.442171,47.441358
2013-08-04 22:00:00,2.805954,44.591573,44.625733
2013-08-05 22:00:00,1.621880,44.791353,44.349118
2013-08-06 22:00:00,1.540987,45.139381,44.793769
2013-08-07 22:00:00,1.396933,45.040270,44.740414
2013-08-08 22:00:00,1.403198,43.330559,43.068107
2013-08-09 22:00:00,1.441853,43.428129,43.380699
2013-08-10 22:00:00,1.450598,43.500355,43.290359
2013-08-11 22:00:00,1.413054,43.709929,43.462779
2013-08-12 22:00:00,1.527000,43.293635,43.325850
2013-07-25 22:00:00,1.459075,45.683117,45.308634
2013-07-26 22:00:00,1.793660,45.558387,44.921150
2013-07-27 22:00:00,1.545610,45.272803,44.932125
2013-07-28 22:00:00,1.491687,44.578371,44.380166
2013-07-29 22:00:00,1.337247,44.978593,44.871411
2013-07-30 22:00:00,1.342051,44.836897,44.731101
2013-07-31 22:00:00,1.536588,44.655617,44.772428
2013-08-01 22:00:00,2.203207,45.062000,44.657562
2013-08-02 22:00:00,1.345052,44.997624,44.779409
2013-08-03 22:00:00,1.516101,44.513971,44.306312
2013-07-13 22:00:00,1.902588,46.169691,45.438295
2013-07-14 22:00:00,2.019380,45.150407,44.805126
2013-07-15 22:00:00,1.217272,46.374444,45.979441
2013-07-16 22:00:00,1.484660,45.046379,44.841460
2013-07-17 22:00:00,1.539999,45.289102,44.820474
2013-07-18 22:00:00,2.043158,43.397500,43.575532
2013-07-19 22:00:00,1.621668,42.025605,42.695114
2013-07-11 22:00:00,1.488832,45.395308,45.341034
2013-07-12 22:00:00,1.557254,44.948616,44.968362
2013-09-02 22:00:00,0.977941,43.220034,43.051825
2013-09-03 22:00:00,1.262213,42.701949,42.559828
2013-09-04 22:00:00,1.507612,42.742659,42.750038
2013-08-13 22:00:00,2.526300,42.971591,42.804885
2013-08-14 22:00:00,1.565008,43.293443,43.262133
2013-08-15 22:00:00,1.283060,43.153731,43.032487
2013-08-16 22:00:00,1.295574,43.482582,43.171524
2013-08-23 22:00:00,0.954016,43.224955,43.033929
2013-08-24 22:00:00,1.462262,43.599034,43.416613
2013-08-25 22:00:00,1.620230,44.076786,43.607743
2013-08-26 22:00:00,1.384349,43.262393,43.088286
2013-08-27 22:00:00,1.475642,43.628601,43.490017
2013-08-28 22:00:00,1.377736,43.823529,43.575331
2013-09-01 22:00:00,1.153575,43.244622,43.099295
2013-09-16 22:00:00,1.520446,42.204212,42.286399
2013-09-08 22:00:00,1.744308,42.833785,42.976044
2013-09-23 22:00:00,1.377288,42.999756,42.876483
2013-09-24 22:00:00,1.208584,43.134302,42.897788
2013-09-26 22:00:00,1.231841,42.624581,42.494508
2013-09-27 22:00:00,0.978998,42.662214,42.510087
2013-09-28 22:00:00,1.104363,42.641667,42.584609
2013-09-29 22:00:00,1.242499,42.929371,42.961220
2013-09-30 22:00:00,1.355828,42.956664,42.788045
2013-10-01 22:00:00,1.083193,43.216233,42.948971
2013-10-03 22:00:00,1.483356,42.703771,42.614475
2013-10-04 22:00:00,1.609596,42.755775,42.600313
2013-10-05 22:00:00,1.180309,43.151072,42.928425
2013-10-06 22:00:00,1.720202,43.150176,42.766204
2013-10-07 22:00:00,1.360976,42.902801,42.796803
2013-10-08 22:00:00,1.419293,43.248836,42.977020
2013-10-09 22:00:00,1.341393,42.968507,42.846332
2013-10-10 22:00:00,1.637811,42.977347,42.993255
2013-10-11 22:00:00,1.630422,42.706276,42.530969
2013-10-12 22:00:00,1.972287,42.752739,42.943062
2013-09-05 22:00:00,1.681622,42.975102,42.984682
2013-09-06 22:00:00,1.847765,43.384582,43.448966
2013-09-07 22:00:00,1.370109,43.493717,43.286923
